Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt
443,17,1719672054.4681742,8.065274000167847,0,24,0,6441,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
60861,17,1719672054.4982593,8.110142230987549,0,26,0,5798,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
57621,17,1719672055.1086187,0.0,0,1,0,86,0,0,86,86,0,0,0,0,0,0,0,0
443,17,1719672055.4186015,0.0,0,1,0,1292,0,0,1292,1292,0,0,0,0,0,0,0,0
443,17,1719672055.4231787,0.004577159881591797,0,2,0,2584,0.0,0.0,1292,1292,0,0,0,0,0,0,0,0
443,17,1719672055.4503827,0.03178119659423828,0,3,0,3876,0.0,0.0,1292,1292,0,0,0,0,0,0,0,0
443,17,1719672055.4555278,0.03692626953125,0,4,0,4000,0.0,0.0,124,1292,0,0,0,0,0,0,0,0
443,17,1719672055.4555278,0.03692626953125,0,5,0,4357,0.0,0.0,124,1292,0,0,0,0,0,0,0,0
53,17,1719672055.4582045,10.553213596343994,0,5,0,428,0.0,0.0,75,92,0,0,0,0,0,0,0,0
49305,17,1719672055.4582045,10.544409036636353,0,5,0,819,0.0,0.0,91,300,0,0,0,0,0,0,0,0
52296,6,1719672055.4582045,0.0,1,0,54,0,0,0,54,54,1,0,0,0,1,0,0,0
52296,6,1719672055.4935148,0.03531026840209961,2,0,139,0,3936.531957704825,56.64074759287518,54,85,1,0,0,1,2,0,0,0
443,6,1719672055.4985554,0.0,1,0,54,0,0,0,54,54,0,0,0,0,1,0,0,0
443,6,1719672055.4985554,0.00039458274841308594,2,0,108,0,273706.8471299094,5068.645317220544,54,54,0,0,0,0,2,0,0,0
443,6,1719672055.4985554,0.00039458274841308594,3,0,162,0,410560.27069486404,7602.967975830816,54,54,1,0,0,0,3,0,0,0
443,6,1719672055.4985554,0.00039458274841308594,4,0,216,0,547413.6942598188,10137.290634441088,54,54,1,0,1,0,4,0,0,0
443,6,1719672055.503658,0.0,1,0,66,0,0,0,66,66,0,1,0,0,0,0,0,0
52308,6,1719672055.503658,0.0,1,0,66,0,0,0,66,66,0,1,0,0,1,0,0,0
443,6,1719672055.5285826,0.024924516677856445,2,0,120,0,4814.536688954573,80.24227814924288,54,66,0,1,0,0,1,0,0,0
443,6,1719672055.5285826,0.024924516677856445,3,0,1901,0,76270.28538085536,120.36341722386432,54,1781,0,1,0,1,2,0,0,0
52308,6,1719672055.533247,0.029588937759399414,2,0,120,0,4055.569719189396,67.5928286531566,54,66,0,1,0,0,2,0,0,0
52308,6,1719672055.5583184,0.05466032028198242,3,0,174,0,3183.2963857944187,54.884420444731354,54,66,0,1,0,0,3,0,0,0
52308,6,1719672055.5678122,0.06312179565429688,4,0,1640,0,25981.516891279385,63.369553393364356,54,1466,0,1,0,0,4,0,0,0
52308,6,1719672055.567924,0.06426596641540527,5,0,3106,0,48330.4021279832,77.80167760460914,54,1466,0,1,0,1,5,0,0,0
52308,6,1719672055.567924,0.06426596641540527,6,0,4572,0,71141.8540016546,93.36201312553098,54,1466,0,1,0,1,6,0,0,0
52308,6,1719672055.567924,0.06426596641540527,7,0,6038,0,93953.30587532601,108.9223486464528,54,1466,0,1,0,2,7,0,0,0
52308,6,1719672055.567924,0.06426596641540527,8,0,6224,0,96847.52828221746,124.48268416737463,54,1466,0,1,0,3,8,0,0,0
443,6,1719672055.567924,0.06426596641540527,4,0,1955,0,30420.455943402176,62.241342083687314,54,1781,0,1,0,1,3,0,0,0
443,6,1719672055.5779858,0.07432770729064941,5,0,2083,0,28024.542609052678,67.26966540819174,54,1781,0,1,0,2,4,0,0,0
443,6,1719672055.5984063,0.09474825859069824,6,0,2229,0,23525.4983379592,63.325702121020726,54,1781,0,1,0,3,5,0,0,0
443,6,1719672055.5984063,0.09474825859069824,7,0,2622,0,27673.331826886057,73.87998580785751,54,1781,0,1,0,4,6,0,0,0
52308,6,1719672055.608497,0.10483884811401367,9,0,7242,0,69077.44724669453,85.84604048884988,54,1466,0,1,0,4,9,0,0,0
52308,6,1719672055.6142397,0.11058163642883301,10,0,7327,0,66258.74093222915,90.43092798175127,54,1466,0,1,0,5,10,0,0,0
443,6,1719672055.6180334,0.11437535285949707,8,0,2676,0,23396.64913023086,69.94513940278284,54,1781,0,1,0,4,7,0,0,0
443,6,1719672055.6180334,0.11437535285949707,9,0,2761,0,24139.816236385428,78.6882818281307,54,1781,0,1,0,5,8,0,0,0
52308,6,1719672055.6230774,0.11437535285949707,11,0,7381,0,64533.134241492524,96.17456667882641,54,1466,0,1,0,5,11,0,0,0
52296,6,1719672055.6230774,0.1648728847503662,3,0,193,0,1170.5987936841223,18.195836171255785,54,85,1,0,0,1,3,0,0,0
52308,6,1719672055.630118,0.12645983695983887,12,0,7435,0,58793.370122414504,94.89178768916935,54,1466,0,1,0,5,12,0,0,0
52308,6,1719672055.6382382,0.13458013534545898,13,0,7726,0,57408.17528655199,96.59672258933159,54,1466,0,1,0,6,13,0,0,0
52308,6,1719672055.651089,0.1474308967590332,14,0,7811,0,52980.75350356583,94.95974254895935,54,1466,0,1,0,7,14,0,0,0
52308,6,1719672055.651089,0.1474308967590332,15,0,7904,0,53611.55750764105,101.74258130245646,54,1466,0,1,0,8,15,0,0,0
443,6,1719672055.651089,0.1474308967590332,10,0,2815,0,19093.69109109433,67.82838753497097,54,1781,0,1,0,5,9,0,0,0
443,6,1719672055.6585944,0.1549363136291504,11,0,2908,0,18769.00212664461,70.9969131338001,54,1781,0,1,0,6,10,0,0,0
443,6,1719672055.6585944,0.1549363136291504,12,0,2997,0,19343.431696545358,77.45117796414557,54,1781,0,1,0,7,11,0,0,0
443,17,1719672055.6622608,0.0,0,1,0,1292,0,0,1292,1292,0,0,0,0,0,0,0,0
443,17,1719672055.6622608,0.0,0,2,0,2584,0,0,1292,1292,0,0,0,0,0,0,0,0
443,17,1719672055.6622608,0.0,0,3,0,2705,0,0,121,1292,0,0,0,0,0,0,0,0
52308,6,1719672055.6785145,0.17485642433166504,16,0,7958,0,45511.624925518234,91.50364398194166,54,1466,0,1,0,8,16,0,0,0
49828,17,1719672055.6939678,0.0,0,1,0,1292,0,0,1292,1292,0,0,0,0,0,0,0,0
49828,17,1719672055.7259293,0.03196144104003906,0,2,0,2584,0.0,0.0,1292,1292,0,0,0,0,0,0,0,0
49828,17,1719672055.728374,0.034406185150146484,0,3,0,2938,0.0,0.0,354,1292,0,0,0,0,0,0,0,0
49828,17,1719672055.728374,0.034406185150146484,0,4,0,3918,0.0,0.0,354,1292,0,0,0,0,0,0,0,0
49828,17,1719672055.728374,0.034406185150146484,0,5,0,3993,0.0,0.0,75,1292,0,0,0,0,0,0,0,0
49828,17,1719672055.728374,0.034406185150146484,0,6,0,4059,0.0,0.0,66,1292,0,0,0,0,0,0,0,0
443,17,1719672055.7384398,0.07617902755737305,0,4,0,3997,0.0,0.0,121,1292,0,0,0,0,0,0,0,0
443,17,1719672055.7599435,0.09768271446228027,0,5,0,4070,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
443,17,1719672055.7599435,0.09768271446228027,0,6,0,4830,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
49828,17,1719672055.7599435,0.06597566604614258,0,7,0,4221,0.0,0.0,66,1292,0,0,0,0,0,0,0,0
49828,17,1719672055.7779388,0.08397102355957031,0,8,0,4292,0.0,0.0,66,1292,0,0,0,0,0,0,0,0
443,17,1719672055.7779388,0.11567807197570801,0,7,0,4904,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
63350,17,1719672055.7779388,0.0,0,1,0,1292,0,0,1292,1292,0,0,0,0,0,0,0,0
63350,17,1719672055.7779388,0.0,0,2,0,2584,0,0,1292,1292,0,0,0,0,0,0,0,0
63350,17,1719672055.7779388,0.0,0,3,0,3876,0,0,1292,1292,0,0,0,0,0,0,0,0
63350,17,1719672055.7880545,0.010115623474121094,0,4,0,4224,0.0,0.0,348,1292,0,0,0,0,0,0,0,0
63350,17,1719672055.7880545,0.010115623474121094,0,5,0,5210,0.0,0.0,348,1292,0,0,0,0,0,0,0,0
63350,17,1719672055.7906754,0.01273655891418457,0,6,0,5279,0.0,0.0,69,1292,0,0,0,0,0,0,0,0
63350,17,1719672055.7906754,0.01273655891418457,0,7,0,5345,0.0,0.0,66,1292,0,0,0,0,0,0,0,0
63350,17,1719672055.7906754,0.01273655891418457,0,8,0,5409,0.0,0.0,64,1292,0,0,0,0,0,0,0,0
