Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Prediction
54415,17,1718887636.0276484,0.0567388534545898,0,100,0,128074,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0286553,0.0577456951141357,0,101,0,129366,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0286553,0.0577456951141357,0,102,0,130658,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0286553,0.0577456951141357,0,103,0,131950,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0297768,0.0588672161102294,0,104,0,133242,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0297768,0.0588672161102294,0,105,0,134534,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0304074,0.0594978332519531,0,106,0,135826,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
443,17,1718887636.0304074,0.0680634975433349,0,9,0,3281,0.0,0.0,74,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0304074,0.0594978332519531,0,107,0,137118,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0312867,0.0603771209716796,0,108,0,138410,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0312867,0.0603771209716796,0,109,0,139702,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0322878,0.0613782405853271,0,110,0,140994,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0322878,0.0613782405853271,0,111,0,142286,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0322878,0.0613782405853271,0,112,0,143578,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.033322,0.0624125003814697,0,113,0,144870,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.033322,0.0624125003814697,0,114,0,146162,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
